City Web Link,City Name,URL,Mayor,Population,Street,City Name,State,Zip,County,Address,Latitude,Longitude,Location
Town of Springdale,Town of Springdale,https://springdale.community/,Stefany Smith,290,PO Box 220,Springdale,WA,99173,Stevens,"PO Box 220,Springdale,WA 99173",48.058166,-117.741863,"48.058166,-117.741863"
City of Sumner,City of Sumner,https://sumnerwa.gov/contact-us/,Kathy Hayden,10800,1104 Maple St Ste 200,Sumner,WA,98390-1407,Pierce,"1104 Maple St Ste 200,Sumner,WA 98390-1407",47.20197,-122.24012,"47.20197,-122.24012"
Town of Darrington,Town of Darrington,https://townofdarrington.com/,Dan Rankin,1505,PO Box 397,Darrington,WA,98241,Snohomish,"PO Box 397,Darrington,WA 98241",48.249055,-121.6071225,"48.249055,-121.6071225"
Town of Pe Ell,Town of Pe Ell,https://townofpeell.com/,Lonnie Willey,655,PO Box 215,Pe Ell,WA,98572,Lewis,"PO Box 215,Pe Ell,WA 98572",46.571414,-123.296844,"46.571414,-123.296844"
City of Union Gap,City of Union Gap,https://uniongapwa.gov/,John Hodkinson,6660,PO Box 3008,Union Gap,WA,98903-0008,Yakima,"PO Box 3008,Union Gap,WA 98903-0008",46.57114,-120.508229,"46.57114,-120.508229"
City of Walla Walla,City of Walla Walla,https://wallawallawa.gov/government/city-directory,Tom Scribner,34310,15 N 3rd Ave,Walla Walla,WA,99362-1859,Walla Walla,"15 N 3rd Ave,Walla Walla,WA 99362-1859",46.06673,-118.34139,"46.06673,-118.34139"
City of Wapato,City of Wapato,https://wapato-city.org/,Margaret Estrada,4620,205 E 3rd St,Wapato,WA,98951-1326,Yakima,"205 E 3rd St,Wapato,WA 98951-1326",46.44627,-120.41791,"46.44627,-120.41791"
City of Aberdeen,City of Aberdeen,https://www.aberdeenwa.gov/,Peter Schave,17080,200 E Market St,Aberdeen,WA,98520-5242,Grays Harbor,"200 E Market St,Aberdeen,WA 98520-5242",46.9761,-123.81757,"46.9761,-123.81757"
City of Algona,City of Algona,https://www.algonawa.gov/,Troy Linnell,3315,200 Washington Blvd,Algona,WA,98001-8503,King,"200 Washington Blvd,Algona,WA 98001-8503",47.27779,-122.24754,"47.27779,-122.24754"
City of Arlington,City of Arlington,https://www.arlingtonwa.gov/,Barbara Tolbert,21740,238 N Olympic Ave,Arlington,WA,98223-1337,Snohomish,"238 N Olympic Ave,Arlington,WA 98223-1337",48.19463,-122.126697,"48.19463,-122.126697"
City of Auburn,City of Auburn,https://www.auburnwa.gov/,Nancy Backus,88820,25 W Main St,Auburn,WA,98001-4916,"King, Pierce","25 W Main St,Auburn,WA 98001-4916",47.30792,-122.23044,"47.30792,-122.23044"
City of Bainbridge Island,City of Bainbridge Island,https://www.bainbridgewa.gov/,Brenda Fantroy-Johnson,25180,280 Madison Ave N,Bainbridge Island,WA,98110-1812,Kitsap,"280 Madison Ave N,Bainbridge Island,WA 98110-1812",47.62627,-122.520485,"47.62627,-122.520485"
Town of Beaux Arts Village,Town of Beaux Arts Village,https://www.beauxarts-wa.gov/,Aletha Howes,315,10550 SE 27th St,Beaux Arts,WA,98004-7231,King,"10550 SE 27th St,Beaux Arts,WA 98004-7231",47.58646,-122.20083,"47.58646,-122.20083"
City of Bingen,City of Bingen,https://www.bingenwashington.org/,Catherine Kiewit,780,PO Box 607,Bingen,WA,98605-0607,Klickitat,"PO Box 607,Bingen,WA 98605-0607",45.714842,-121.464517,"45.714842,-121.464517"
City of Bothell,City of Bothell,https://www.bothellwa.gov/,Mason Thompson,49550,18415 101st Ave NE,Bothell,WA,98011-3403,"King, Snohomish","18415 101st Ave NE,Bothell,WA 98011-3403",47.76152,-122.206223,"47.76152,-122.206223"
City of Bridgeport,City of Bridgeport,https://www.bridgeportwashington.net/,Janet Conklin,2155,PO Box 640,Bridgeport,WA,98813,Douglas,"PO Box 640,Bridgeport,WA 98813",48.0082,-119.671164,"48.0082,-119.671164"
Town of Bucoda,Town of Bucoda,https://www.bucoda.us/,Robert Gordon,620,PO Box 10,Bucoda,WA,98530,Thurston,"PO Box 10,Bucoda,WA 98530",46.797721,-122.868456,"46.797721,-122.868456"
City of Burien,City of Burien,https://www.burienwa.gov/,Sofia Aragon,52560,400 SW 152nd St Ste 300,Burien,WA,98166-1917,King,"400 SW 152nd St Ste 300,Burien,WA 98166-1917",47.46715,-122.33961,"47.46715,-122.33961"
City of Burlington,City of Burlington,https://www.burlingtonwa.gov/,Steve Sexton,9905,833 S Spruce St,Burlington,WA,98233-2810,Skagit,"833 S Spruce St,Burlington,WA 98233-2810",48.46869,-122.33093,"48.46869,-122.33093"
Town of Carbonado,Town of Carbonado,https://www.carbonado.org/,Kevin Vesey,745,PO Box 91,Carbonado,WA,98323,Pierce,"PO Box 91,Carbonado,WA 98323",47.079722,-122.051434,"47.079722,-122.051434"
City of Carnation,City of Carnation,https://www.carnationwa.gov/,Kim Lisk,2225,PO Box 1238,Carnation,WA,98014,King,"PO Box 1238,Carnation,WA 98014",47.647513,-121.912942,"47.647513,-121.912942"
City of Benton City,City of Benton City,https://www.ci.benton-city.wa.us/,Linda Lehman,3810,PO Box 70,Benton City,WA,99320,Benton,"PO Box 70,Benton City,WA 99320",46.26319,-119.487802,"46.26319,-119.487802"
City of Blaine,City of Blaine,https://www.ci.blaine.wa.us/,Mary Lou Steward,6310,435 Martin St Ste 3000,Blaine,WA,98230-4106,Whatcom,"435 Martin St Ste 3000,Blaine,WA 98230-4106",48.99294,-122.74717,"48.99294,-122.74717"
City of Castle Rock,City of Castle Rock,https://www.ci.castle-rock.wa.us/,Paul Helenberg,2460,PO Box 370,Castle Rock,WA,98611,Cowlitz,"PO Box 370,Castle Rock,WA 98611",46.273991,-122.904919,"46.273991,-122.904919"
City of Chehalis,City of Chehalis,https://www.ci.chehalis.wa.us/,Tony Ketchum,7400,350 N Market Blvd Rm 101,Chehalis,WA,98532-2620,Lewis,"350 N Market Blvd Rm 101,Chehalis,WA 98532-2620",46.663925,-122.96705,"46.663925,-122.96705"
City of Everson,City of Everson,https://www.ci.everson.wa.us/,John Perry,3135,PO Box 315,Everson,WA,98247,Whatcom,"PO Box 315,Everson,WA 98247",48.919617,-122.338603,"48.919617,-122.338603"
City of Goldendale,City of Goldendale,https://www.ci.goldendale.wa.us/,Michael Canon,3485,1103 S Columbus Ave,Goldendale,WA,98620-9268,Klickitat,"1103 S Columbus Ave,Goldendale,WA 98620-9268",45.81435,-120.8231,"45.81435,-120.8231"
City of Lacey,City of Lacey,https://www.ci.lacey.wa.us/,Andy Ryder,59430,420 College St SE,Lacey,WA,98503,Thurston,"420 College St SE,Lacey,WA 98503",47.04492,-122.82268,"47.04492,-122.82268"
City of Sedro-Woolley,City of Sedro-Woolley,https://www.ci.sedro-woolley.wa.us/departments/index.php,Julia Johnson,12900,325 Metcalf St,Sedro-Woolley,WA,98284,Skagit,"325 Metcalf St,Sedro-Woolley,WA 98284",48.50906,-122.23777,"48.50906,-122.23777"
City of Snoqualmie,City of Snoqualmie,https://www.ci.snoqualmie.wa.us/,Katherine Ross,14500,PO Box 987,Snoqualmie,WA,98065,King,"PO Box 987,Snoqualmie,WA 98065",47.526316,-121.826371,"47.526316,-121.826371"
City of Sultan,City of Sultan,https://www.ci.sultan.wa.us/,Russell Wiita,6730,PO Box 1199,Sultan,WA,98294,Snohomish,"PO Box 1199,Sultan,WA 98294",47.862282,-121.814731,"47.862282,-121.814731"
City of Tumwater,City of Tumwater,https://www.ci.tumwater.wa.us/,Debbie Sullivan,27100,555 Israel Rd SW,Tumwater,WA,98501-6515,Thurston,"555 Israel Rd SW,Tumwater,WA 98501-6515",46.98475,-122.91167,"46.98475,-122.91167"
City of Woodinville,City of Woodinville,https://www.ci.woodinville.wa.us/information/city_hall/contact_us,Michael Millman,13830,17301 133rd Ave NE,Woodinville,WA,98072-8563,King,"17301 133rd Ave NE,Woodinville,WA 98072-8563",47.75291,-122.16225,"47.75291,-122.16225"
City of Anacortes,City of Anacortes,https://www.cityofanacortes.org/,Matthew Miller,18020,PO Box 547,Anacortes,WA,98221,Skagit,"PO Box 547,Anacortes,WA 98221",48.502012,-122.623736,"48.502012,-122.623736"
City of Asotin,City of Asotin,https://www.cityofasotin.org/,Dwayne Paris,1225,PO Box 517,Asotin,WA,99402,Asotin,"PO Box 517,Asotin,WA 99402",46.339327,-117.048212,"46.339327,-117.048212"
City of Battle Ground,City of Battle Ground,https://www.cityofbg.org/,Philip Johnson,21910,109 SW 1st St Ste 221,Battle Ground,WA,98604-2818,Clark,"109 SW 1st St Ste 221,Battle Ground,WA 98604-2818",45.779785,-122.53946,"45.779785,-122.53946"
City of Buckley,City of Buckley,https://www.cityofbuckley.com/,Beau Burkett,5555,PO Box 1960,Buckley,WA,98321,Pierce,"PO Box 1960,Buckley,WA 98321",47.16168,-122.031263,"47.16168,-122.031263"
City of Camas,City of Camas,https://www.cityofcamas.us/,Steve Hogan,27420,616 NE 4th Ave,Camas,WA,98607-2108,Clark,"616 NE 4th Ave,Camas,WA 98607-2108",45.58068,-122.38259,"45.58068,-122.38259"
City of Cashmere,City of Cashmere,https://www.cityofcashmere.org/,Jim Fletcher,3355,101 Woodring St,Cashmere,WA,98815-1034,Chelan,"101 Woodring St,Cashmere,WA 98815-1034",47.521225,-120.468033,"47.521225,-120.468033"
City of Cheney,City of Cheney,https://www.cityofcheney.org/,Christopher Grover,13160,609 2nd St,Cheney,WA,99004-1606,Spokane,"609 2nd St,Cheney,WA 99004-1606",47.48876,-117.57463,"47.48876,-117.57463"
City of Chewelah,City of Chewelah,https://www.cityofchewelah.org/,Greg McCunn,2580,PO Box 258,Chewelah,WA,99109,Stevens,"PO Box 258,Chewelah,WA 99109",48.276287,-117.715521,"48.276287,-117.715521"
City of Cle Elum,City of Cle Elum,https://www.cityofcleelum.com/,Jay McGowan,2255,119 W 1st St,Cle Elum,WA,98922-1105,Kittitas,"119 W 1st St,Cle Elum,WA 98922-1105",47.19481,-120.94018,"47.19481,-120.94018"
City of Connell,City of Connell,https://www.cityofconnell.com/,Lee Barrow,4960,PO Box 1200,Connell,WA,99326,Franklin,"PO Box 1200,Connell,WA 99326",46.660395,-118.861198,"46.660395,-118.861198"
City of Deer Park,City of Deer Park,https://www.cityofdeerparkwa.com/,Timothy Verzal,4925,PO Box F,Deer Park,WA,99006,Spokane,"PO Box F,Deer Park,WA 99006",47.954338,-117.476891,"47.954338,-117.476891"
City of Elma,City of Elma,https://www.cityofelma.com/,James Sorensen,3480,PO BOX 3005,Elma,WA,98541,Grays Harbor,"PO BOX 3005,Elma,WA 98541",47.003429,-123.408769,"47.003429,-123.408769"
City of Enumclaw,City of Enumclaw,https://www.cityofenumclaw.net/,Jan Molinaro,13090,1339 Griffin Ave,Enumclaw,WA,98022-3011,King,"1339 Griffin Ave,Enumclaw,WA 98022-3011",47.20448,-121.9909,"47.20448,-121.9909"
City of Federal Way,City of Federal Way,https://www.cityoffederalway.com/,Jim Ferrell,102000,33325 8th Ave S,Federal Way,WA,98003-6325,King,"33325 8th Ave S,Federal Way,WA 98003-6325",47.30397,-122.32656,"47.30397,-122.32656"
City of Ferndale,City of Ferndale,https://www.cityofferndale.org/,Greg Hansen,16330,PO Box 936,Ferndale,WA,98248,Whatcom,"PO Box 936,Ferndale,WA 98248",48.84667,-122.589724,"48.84667,-122.589724"
City of Fife,City of Fife,https://www.cityoffife.org/,Kim Roscoe,11150,5411 23rd St E,Fife,WA,98424-2061,Pierce,"5411 23rd St E,Fife,WA 98424-2061",47.23721,-122.35652,"47.23721,-122.35652"
City of Fircrest,City of Fircrest,https://www.cityoffircrest.net/,Hunter George,7235,115 Ramsdell St,Fircrest,WA,98466-6912,Pierce,"115 Ramsdell St,Fircrest,WA 98466-6912",47.23237,-122.50598,"47.23237,-122.50598"
City of Gig Harbor,City of Gig Harbor,https://www.cityofgigharbor.net/,Tracie Markley,13060,3510 Grandview St,Gig Harbor,WA,98335-1214,Pierce,"3510 Grandview St,Gig Harbor,WA 98335-1214",47.32229,-122.58515,"47.32229,-122.58515"
City of Gold Bar,City of Gold Bar,https://www.cityofgoldbar.us/,Steve Yarbrough,2305,107 5th St,Gold Bar,WA,98251-9275,Snohomish,"107 5th St,Gold Bar,WA 98251-9275",47.85581,-121.69787,"47.85581,-121.69787"
City of Hoquiam,City of Hoquiam,https://www.cityofhoquiam.com/,Benjamin Winkelman,8795,609 8th St,Hoquiam,WA,98550-3522,Grays Harbor,"609 8th St,Hoquiam,WA 98550-3522",46.97456,-123.88703,"46.97456,-123.88703"
City of Kalama,City of Kalama,https://www.cityofkalama.com/,Mike Reuter,3070,PO Box 1007,Kalama,WA,98625,Cowlitz,"PO Box 1007,Kalama,WA 98625",46.008523,-122.842471,"46.008523,-122.842471"
City of Lakewood,City of Lakewood,https://www.cityoflakewood.us/,Jason Whalen,64150,6000 Main St SW,Lakewood,WA,98499-5027,Pierce,"6000 Main St SW,Lakewood,WA 98499-5027",47.16143,-122.51556,"47.16143,-122.51556"
City of Lake Forest Park,City of Lake Forest Park,https://www.cityoflfp.com/,Jeff Johnson,13660,17425 Ballinger Way NE,Lake Forest Park,WA,98155-5556,King,"17425 Ballinger Way NE,Lake Forest Park,WA 98155-5556",47.753865,-122.27755,"47.753865,-122.27755"
City of McCleary,City of McCleary,https://www.cityofmccleary.com/,Chris Miller,2120,100 S 3rd St,McCleary,WA,98557-9652,Grays Harbor,"100 S 3rd St,McCleary,WA 98557-9652",47.05539,-123.26394,"47.05539,-123.26394"
City of Mill Creek,City of Mill Creek,https://www.cityofmillcreek.com/staff_directory,Brian Holtzclaw,21630,15728 Main St,Bothell,WA,98012-1518,Snohomish,"15728 Main St,Bothell,WA 98012-1518",47.854805,-122.22215,"47.854805,-122.22215"
City of Milton,City of Milton,https://www.cityofmilton.net/,Shanna Styron Sherrell,8715,1000 Laurel St,Milton,WA,98354-8887,"Pierce, King","1000 Laurel St,Milton,WA 98354-8887",47.249405,-122.321004,"47.249405,-122.321004"
City of Moses Lake,City of Moses Lake,https://www.cityofml.com,Don Myers,26210,PO Box 1579,Moses Lake,WA,98837,Grant,"PO Box 1579,Moses Lake,WA 98837",47.128959,-119.280175,"47.128959,-119.280175"
City of Port Angeles,City of Port Angeles,https://www.cityofpa.us/,Kate Dexter,20240,321 E 5th St,Port Angeles,WA,98362-3206,Clallam,"321 E 5th St,Port Angeles,WA 98362-3206",48.11427,-123.43213,"48.11427,-123.43213"
City of Pomeroy,City of Pomeroy,https://www.cityofpomeroy1.com/,Paul Miller,1395,PO Box 370,Pomeroy,WA,99347,Garfield,"PO Box 370,Pomeroy,WA 99347",46.474874,-117.60269,"46.474874,-117.60269"
City of Republic,City of Republic,https://www.cityofrepublic.org/,Elbert Koontz,1000,PO Box 331,Republic,WA,99166,Ferry,"PO Box 331,Republic,WA 99166",48.648218,-118.737807,"48.648218,-118.737807"
City of Ritzville,City of Ritzville,https://www.cityofritzville.com/,Linda Kadlec,1785,216 E Main Ave,Ritzville,WA,99169-1422,Adams,"216 E Main Ave,Ritzville,WA 99169-1422",47.12849,-118.37847,"47.12849,-118.37847"
City of Roy,City of Roy,https://www.cityofroywa.us/,Kimber Ivy,815,PO Box 700,Roy,WA,98580,Pierce,"PO Box 700,Roy,WA 98580",47.004264,-122.539846,"47.004264,-122.539846"
City of Sumas,City of Sumas,https://www.cityofsumas.com/,Bruce Bosch,1810,PO Box 9,Sumas,WA,98295,Whatcom,"PO Box 9,Sumas,WA 98295",48.998321,-122.265476,"48.998321,-122.265476"
City of Tacoma,City of Tacoma,https://www.cityoftacoma.org/cms/One.aspx,Victoria Woodards,222400,747 Market St,Tacoma,WA,98402-3701,Pierce,"747 Market St,Tacoma,WA 98402-3701",47.25581,-122.44185,"47.25581,-122.44185"
City of Vancouver,City of Vancouver,https://www.cityofvancouver.us/directory,Anne McEnerny-Ogle,199600,PO Box 1995,Vancouver,WA,98668,Clark,"PO Box 1995,Vancouver,WA 98668",45.640802,-122.623914,"45.640802,-122.623914"
City of Waitsburg,City of Waitsburg,https://www.cityofwaitsburg.com/,Martin Dunn,1185,PO Box 35,Waitsburg,WA,99361,Walla Walla,"PO Box 35,Waitsburg,WA 99361",46.270418,-118.153286,"46.270418,-118.153286"
City of Washougal,City of Washougal,https://www.cityofwashougal.us/directory,David Stuebe,17490,1701 C St,Washougal,WA,98671-2333,Clark,"1701 C St,Washougal,WA 98671-2333",45.57939,-122.35408,"45.57939,-122.35408"
City of Clarkston,City of Clarkston,https://www.clarkston-wa.com/,Monika Lawrence,7220,829 5th St,Clarkston,WA,99403-2633,Asotin,"829 5th St,Clarkston,WA 99403-2633",46.41352,-117.04385,"46.41352,-117.04385"
City of Clyde Hill,City of Clyde Hill,https://www.clydehill.org/,Marianne Klaas,3115,9605 NE 24th St,Clyde Hill,WA,98004-2141,King,"9605 NE 24th St,Clyde Hill,WA 98004-2141",47.63172,-122.21212,"47.63172,-122.21212"
City of Bellingham,City of Bellingham,https://www.cob.org/,Seth Fleetwood,95960,210 Lottie St,Bellingham,WA,98225,Whatcom,"210 Lottie St,Bellingham,WA 98225",48.755353,-122.478843,"48.755353,-122.478843"
City of Colfax,City of Colfax,https://www.colfaxwa.org/,James Retzer,2785,PO Box 229,Colfax,WA,99111,Whitman,"PO Box 229,Colfax,WA 99111",46.880166,-117.36435,"46.880166,-117.36435"
City of Colville,City of Colville,https://www.colville.wa.us/,Jack Smith,4925,170 S Oak St,Colville,WA,99114-2846,Stevens,"170 S Oak St,Colville,WA 99114-2846",48.5439,-117.90447,"48.5439,-117.90447"
Town of Conconully,Town of Conconully,https://www.colville.wa.us/,Sam Martin,195,PO Box 127,Conconully,WA,98819,Okanogan,"PO Box 127,Conconully,WA 98819",48.557371,-119.749789,"48.557371,-119.749789"
City of Cosmopolis,City of Cosmopolis,https://www.cosmopoliswa.gov/,Kyle Pauley,1670,PO Box 2007,Cosmopolis,WA,98537,Grays Harbor,"PO Box 2007,Cosmopolis,WA 98537",46.955372,-123.773776,"46.955372,-123.773776"
Town of Coulee City,Town of Coulee City,https://www.couleecitywa.org/,ShirleyRae Maes,560,PO Box 398,Coulee City,WA,99115,Grant,"PO Box 398,Coulee City,WA 99115",47.611256,-119.29225,"47.611256,-119.29225"
City of Covington,City of Covington,https://www.covingtonwa.gov/,Jeff Wagner,21600,16720 SE 271st St Ste 100,Covington,WA,98042-7342,King,"16720 SE 271st St Ste 100,Covington,WA 98042-7342",47.35922,-122.11807,"47.35922,-122.11807"
City of Davenport,City of Davenport,https://www.davenportwa.us/,Bradley Sweet,1725,PO Box 26,Davenport,WA,99122-0026,Lincoln,"PO Box 26,Davenport,WA 99122-0026",47.654046,-118.149973,"47.654046,-118.149973"
City of Dayton,City of Dayton,https://www.daytonwa.com/,Zac Weatherford,2445,111 S 1st St,Dayton,WA,99328-1306,Columbia,"111 S 1st St,Dayton,WA 99328-1306",46.31927,-117.97977,"46.31927,-117.97977"
City of Des Moines,City of Des Moines,https://www.desmoineswa.gov/,Matt Mahoney,33260,21630 11th Ave S,Des Moines,WA,98198-6317,King,"21630 11th Ave S,Des Moines,WA 98198-6317",47.40749,-122.31918,"47.40749,-122.31918"
City of DuPont,City of DuPont,https://www.dupontwa.gov/,Ronald Frederick,10180,1700 Civic Dr,Dupont,WA,98327-9603,Pierce,"1700 Civic Dr,Dupont,WA 98327-9603",47.10597,-122.64603,"47.10597,-122.64603"
City of Duvall,City of Duvall,https://www.duvallwa.gov/,Amy Ockerlander,8530,PO Box 1300,Duvall,WA,98019,King,"PO Box 1300,Duvall,WA 98019",47.738075,-121.985332,"47.738075,-121.985332"
City of East Wenatchee,City of East Wenatchee,https://www.east-wenatchee.com/,Jerrilea Crawford,14210,271 9th St NE,East Wenatchee,WA,98802-4438,Douglas,"271 9th St NE,East Wenatchee,WA 98802-4438",47.41138,-120.28768,"47.41138,-120.28768"
Town of Eatonville,Town of Eatonville,https://www.eatonville-wa.gov/,David Baublits,2900,PO Box 309,Eatonville,WA,98328,Pierce,"PO Box 309,Eatonville,WA 98328",46.868252,-122.270068,"46.868252,-122.270068"
City of Electric City,City of Electric City,https://www.electriccity.us/,Diane Kohout,965,PO Box 130,Electric City,WA,99123,Grant,"PO Box 130,Electric City,WA 99123",47.932374,-119.038078,"47.932374,-119.038078"
City of Entiat,City of Entiat,https://www.entiatwa.us/,Michael Buckingham,1360,PO Box 228,Entiat,WA,98822,Chelan,"PO Box 228,Entiat,WA 98822",47.675964,-120.20841,"47.675964,-120.20841"
Town of Garfield,Town of Garfield,https://www.garfieldwa.com/,Jarrod Pfaff,565,PO Box 218,Garfield,WA,99130,Whitman,"PO Box 218,Garfield,WA 99130",47.007949,-117.141007,"47.007949,-117.141007"
City of George,City of George,https://www.garfieldwa.com/,Gerene Nelson,885,PO Box 5277,George,WA,98824,Grant,"PO Box 5277,George,WA 98824",47.079071,-119.856998,"47.079071,-119.856998"
City of Kennewick,City of Kennewick,https://www.go2kennewick.com/,Bill McKay,86470,PO Box 6108,Kennewick,WA,99336,Benton,"PO Box 6108,Kennewick,WA 99336",46.203029,-119.118093,"46.203029,-119.118093"
City of Grandview,City of Grandview,https://www.grandview.wa.us/,Gloria Mendoza,11250,207 W 2nd St,Grandview,WA,98930-1360,Yakima,"207 W 2nd St,Grandview,WA 98930-1360",46.25519,-119.90443,"46.25519,-119.90443"
City of Harrington,City of Harrington,https://www.harringtonbiz.com/,Jesse Silhan,435,PO Box 492,Harrington,WA,99134,Lincoln,"PO Box 492,Harrington,WA 99134",47.480987,-118.254419,"47.480987,-118.254419"
Town of Hunts Point,Town of Hunts Point,https://www.huntspoint-wa.gov/,Joseph Sabey,460,3000 Hunts Point Rd,Hunts Point,WA,98004-1121,King,"3000 Hunts Point Rd,Hunts Point,WA 98004-1121",47.6373,-122.22724,"47.6373,-122.22724"
City of Ilwaco,City of Ilwaco,https://www.ilwaco-wa.gov/,Mike Cassinelli,1110,PO Box 548,Ilwaco,WA,98624,Pacific,"PO Box 548,Ilwaco,WA 98624",46.309036,-124.043664,"46.309036,-124.043664"
City of Kelso,City of Kelso,https://www.kelso.gov/,Mike Karnofski,12750,PO Box 819,Kelso,WA,98626,Cowlitz,"PO Box 819,Kelso,WA 98626",46.14521,-122.909829,"46.14521,-122.909829"
City of Kent,City of Kent,https://www.kentwa.gov/,Dana Ralph,139100,220 Fourth Ave S,Kent,WA,98032-5838,King,"220 Fourth Ave S,Kent,WA 98032-5838",47.38069,-122.23706,"47.38069,-122.23706"
City of Lake Stevens,City of Lake Stevens,https://www.lakestevenswa.gov/,Brett Gailey,41260,PO Box 257,Lake Stevens,WA,98258,Snohomish,"PO Box 257,Lake Stevens,WA 98258",48.019779,-122.066091,"48.019779,-122.066091"
City of Langley,City of Langley,https://www.langleywa.org/,Scott Chaplin,1165,PO Box 366,Langley,WA,98260,Island,"PO Box 366,Langley,WA 98260",48.039981,-122.409405,"48.039981,-122.409405"
City of Liberty Lake,City of Liberty Lake,https://www.libertylakewa.gov/,Cristella Kaminskas,13150,22710 E Country Vista Dr,Liberty Lake,WA,99019-7592,Spokane,"22710 E Country Vista Dr,Liberty Lake,WA 99019-7592",47.66771,-117.10015,"47.66771,-117.10015"
Town of Lind,Town of Lind,https://www.lindwa.com/,Paula Bell,535,PO Box F,Lind,WA,99341,Adams,"PO Box F,Lind,WA 99341",46.972091,-118.616231,"46.972091,-118.616231"
City of Long Beach,City of Long Beach,https://www.longbeachwa.gov/,Jerry Phillips,1730,PO Box 310,Long Beach,WA,98631,Pacific,"PO Box 310,Long Beach,WA 98631",46.35232,-124.054331,"46.35232,-124.054331"
City of Lynden,City of Lynden,https://www.lyndenwa.org/,Scott Korthuis,16520,PO Box 650,Lynden,WA,98264,Whatcom,"PO Box 650,Lynden,WA 98264",48.942504,-122.454839,"48.942504,-122.454839"
City of Lynnwood,City of Lynnwood,https://www.lynnwoodwa.gov/,Christine Frizzell,40790,19100 44th Ave W,Lynnwood,WA,98036-5635,Snohomish,"19100 44th Ave W,Lynnwood,WA 98036-5635",47.82603,-122.29353,"47.82603,-122.29353"
City of Mabton,City of Mabton,https://www.lynnwoodwa.gov/,Rachel Ruelas,1965,PO Box 655,Mabton,WA,98935,Yakima,"PO Box 655,Mabton,WA 98935",46.214848,-119.996708,"46.214848,-119.996708"
City of Maple Valley,City of Maple Valley,https://www.maplevalleywa.gov/,Sean Kelly,29250,PO Box 320,Maple Valley,WA,98038-0320,King,"PO Box 320,Maple Valley,WA 98038-0320",47.391773,-122.047122,"47.391773,-122.047122"
Town of Marcus,Town of Marcus,https://www.marysvillewa.gov/,Christopher Fox,215,PO Box 98,Marcus,WA,99151,Stevens,"PO Box 98,Marcus,WA 99151",48.663236,-118.068323,"48.663236,-118.068323"
City of Marysville,City of Marysville,https://www.marysvillewa.gov/,Jon Nehring,73780,501 Delta Ave,Marysville,WA,98270,Snohomish,"501 Delta Ave,Marysville,WA 98270",48.053035,-122.179005,"48.053035,-122.179005"
City of Medical Lake,City of Medical Lake,https://www.medical-lake.org/,Terri Cooper,4915,PO Box 369,Medical Lake,WA,99022,Spokane,"PO Box 369,Medical Lake,WA 99022",47.57271,-117.682392,"47.57271,-117.682392"
City of Millwood,City of Millwood,https://www.millwoodwa.us/,Kevin Freeman,1925,9103 E Frederick,Millwood,WA,99206,Spokane,"9103 E Frederick,Millwood,WA 99206",47.68521,-117.282295,"47.68521,-117.282295"
City of Longview,City of Longview,https://www.mylongview.com/,MaryAlice Wallis,38130,PO Box 128,Longview,WA,98632,Cowlitz,"PO Box 128,Longview,WA 98632",46.137849,-122.93887,"46.137849,-122.93887"
City of Okanogan,City of Okanogan,https://www.okanogancity.com/directory,Wayne Turner,2420,PO Box 752,Okanogan,WA,98840,Okanogan,"PO Box 752,Okanogan,WA 98840",48.361262,-119.583387,"48.361262,-119.583387"
City of Renton,City of Renton,https://www.rentonwa.gov/city_hall/city_directory,Armondo Pavone,107900,1055 S Grady Way,Renton,WA,98057-3232,King,"1055 S Grady Way,Renton,WA 98057-3232",47.4746,-122.20488,"47.4746,-122.20488"
Town of Rockford,Town of Rockford,https://www.rockfordwa.com/,Carrie Roecks,570,PO Box 49,Rockford,WA,99030,Spokane,"PO Box 49,Rockford,WA 99030",47.452121,-117.130747,"47.452121,-117.130747"
City of Royal City,City of Royal City,https://www.royalcitywa.org/,Kent Andersen,1910,PO Box 1239,Royal City,WA,99357,Grant,"PO Box 1239,Royal City,WA 99357",46.90097,-119.630591,"46.90097,-119.630591"
City of Ruston,City of Ruston,https://www.rustonwa.org/,Bruce Hopkins,1065,5117 N Winnifred St,Ruston,WA,98407-6512,Pierce,"5117 N Winnifred St,Ruston,WA 98407-6512",47.29879,-122.51255,"47.29879,-122.51255"
City of Sammamish,City of Sammamish,https://www.sammamish.us/government/about/contact-us/staff-list/,Kali Clark,68280,801 228th Ave SE,Sammamish,WA,98075,King,"801 228th Ave SE,Sammamish,WA 98075",47.60132,-122.03681,"47.60132,-122.03681"
City of Shelton,City of Shelton,https://www.sheltonwa.gov/index.php,Eric Onisko,10420,525 W Cota St,Shelton,WA,98584-2239,Mason,"525 W Cota St,Shelton,WA 98584-2239",47.21204,-123.105645,"47.21204,-123.105645"
Town of Skykomish,Town of Skykomish,https://www.skykomishwa.gov/,Henry Sladek,165,PO Box 308,Skykomish,WA,98288,King,"PO Box 308,Skykomish,WA 98288",47.709272,-121.360568,"47.709272,-121.360568"
City of Soap Lake,City of Soap Lake,https://www.soaplakewa.gov/,Michelle Agliano,1765,PO Box 1270,Soap Lake,WA,98851,Grant,"PO Box 1270,Soap Lake,WA 98851",47.389307,-119.490591,"47.389307,-119.490591"
